﻿# name;
name;LS-8 15m 347kg
# mass in kg;
mass;347
# min sink (m/s);
min_sink;0.58
# min sink at (km/h);
min_sink_at;82
# best glide ratio;
best_glide;42.4
# best glide at (km/h);
best_glide_at;99
;
airspeed (km/h);Sink rate (m/s)
77.33109;0.7114502
78.04054;0.6809158
78.95271;0.6351143
79.96622;0.6076334
80.87838;0.5923662
82.29729;0.5862594
84.83109;0.5893128
88.98649;0.6015266
93.64865;0.6229006
98.71622;0.6473281
103.7838;0.6900762
109.1554;0.7267174
114.6284;0.7877861
121.2162;0.864122
126.5878;0.9251907
132.7703;1.019847
137.7365;1.09313
142.9054;1.184733
149.4932;1.303817
154.6622;1.419847
160.0338;1.551145
164.0878;1.676336
167.7365;1.829008
171.8919;2.00916
176.3513;2.198473
180.2027;2.421374
183.1419;2.638168
186.1824;2.858015
189.9324;3.132824
